[g6k_env] chdir -> /home/pyjast1123/workspace/builds/g6k
[enum_sieve_server] dims 70..110 (41), files=369, beta=40, steps_mult=1, prefetch=2
[40/369] ENUM_SIEVE dim74 seed4190 b1/GH=1.3728 t=0.895s (1.16 files/s)
[41/369] ENUM_SIEVE dim74 seed503 b1/GH=1.3752 t=0.935s (1.16 files/s)
[42/369] ENUM_SIEVE dim74 seed5466 b1/GH=1.4701 t=0.963s (1.15 files/s)
[43/369] ENUM_SIEVE dim74 seed6608 b1/GH=1.4603 t=0.905s (1.15 files/s)
[44/369] ENUM_SIEVE dim74 seed69 b1/GH=1.4203 t=0.989s (1.15 files/s)
[45/369] ENUM_SIEVE dim74 seed8100 b1/GH=1.3179 t=0.919s (1.15 files/s)
[46/369] ENUM_SIEVE dim75 seed1000 b1/GH=1.4588 t=0.993s (1.14 files/s)
[47/369] ENUM_SIEVE dim75 seed1206 b1/GH=1.4709 t=0.946s (1.14 files/s)
[48/369] ENUM_SIEVE dim75 seed1237 b1/GH=1.4230 t=0.945s (1.14 files/s)
[49/369] ENUM_SIEVE dim75 seed1822 b1/GH=1.5158 t=1.009s (1.14 files/s)
[50/369] ENUM_SIEVE dim75 seed2840 b1/GH=1.4725 t=0.992s (1.13 files/s)
[51/369] ENUM_SIEVE dim75 seed3660 b1/GH=1.4575 t=0.988s (1.13 files/s)
[52/369] ENUM_SIEVE dim75 seed38 b1/GH=1.3019 t=0.946s (1.13 files/s)
[53/369] ENUM_SIEVE dim75 seed6 b1/GH=1.4118 t=0.94s (1.13 files/s)
[54/369] ENUM_SIEVE dim75 seed776 b1/GH=1.5357 t=0.94s (1.13 files/s)
[55/369] ENUM_SIEVE dim76 seed0 b1/GH=1.4759 t=0.988s (1.12 files/s)
[56/369] ENUM_SIEVE dim76 seed164 b1/GH=1.5118 t=1.031s (1.12 files/s)
[57/369] ENUM_SIEVE dim76 seed309 b1/GH=1.3645 t=1.005s (1.12 files/s)
[58/369] ENUM_SIEVE dim76 seed436 b1/GH=1.2847 t=1.029s (1.12 files/s)
[59/369] ENUM_SIEVE dim76 seed4782 b1/GH=1.4997 t=1.029s (1.11 files/s)
[60/369] ENUM_SIEVE dim76 seed531 b1/GH=1.4835 t=0.99s (1.11 files/s)
[61/369] ENUM_SIEVE dim76 seed57 b1/GH=1.5216 t=0.995s (1.11 files/s)
[62/369] ENUM_SIEVE dim76 seed813 b1/GH=1.5013 t=1.001s (1.11 files/s)
[63/369] ENUM_SIEVE dim76 seed866 b1/GH=1.4681 t=1.018s (1.10 files/s)
[64/369] ENUM_SIEVE dim77 seed0 b1/GH=1.4916 t=1.05s (1.10 files/s)
[65/369] ENUM_SIEVE dim77 seed1 b1/GH=1.5778 t=1.032s (1.10 files/s)
[66/369] ENUM_SIEVE dim77 seed100 b1/GH=1.5053 t=1.041s (1.10 files/s)
[67/369] ENUM_SIEVE dim77 seed190 b1/GH=1.4746 t=1.017s (1.10 files/s)
[68/369] ENUM_SIEVE dim77 seed2 b1/GH=1.3977 t=1.03s (1.09 files/s)
[69/369] ENUM_SIEVE dim77 seed2955 b1/GH=1.5117 t=1.05s (1.09 files/s)
[70/369] ENUM_SIEVE dim77 seed3 b1/GH=1.5540 t=1.034s (1.09 files/s)
[71/369] ENUM_SIEVE dim77 seed584 b1/GH=1.4578 t=1.033s (1.09 files/s)
[72/369] ENUM_SIEVE dim77 seed6871 b1/GH=1.4928 t=1.051s (1.08 files/s)
[73/369] ENUM_SIEVE dim78 seed0 b1/GH=1.5626 t=1.088s (1.08 files/s)
[74/369] ENUM_SIEVE dim78 seed1 b1/GH=1.4920 t=1.059s (1.08 files/s)
[75/369] ENUM_SIEVE dim78 seed2 b1/GH=1.5153 t=1.067s (1.08 files/s)
[76/369] ENUM_SIEVE dim78 seed3 b1/GH=1.7591 t=1.058s (1.08 files/s)
[77/369] ENUM_SIEVE dim78 seed42 b1/GH=1.5318 t=1.083s (1.07 files/s)
[78/369] ENUM_SIEVE dim78 seed84 b1/GH=1.5750 t=1.085s (1.07 files/s)
[79/369] ENUM_SIEVE dim78 seed8916 b1/GH=1.6235 t=1.071s (1.07 files/s)
