[g6k_env] chdir -> /home/pyjast1123/workspace/builds/g6k
[enum_sieve_server] dims 70..110 (41), files=369, beta=40, steps_mult=1, prefetch=2
[270/369] ENUM_SIEVE dim99 seed691 b1/GH=2.1395 t=2.443s (0.67 files/s)
[271/369] ENUM_SIEVE dim100 seed0 b1/GH=2.3559 t=2.538s (0.66 files/s)
[272/369] ENUM_SIEVE dim100 seed1 b1/GH=2.2173 t=2.519s (0.66 files/s)
[273/369] ENUM_SIEVE dim100 seed1342 b1/GH=2.4039 t=2.555s (0.66 files/s)
[274/369] ENUM_SIEVE dim100 seed218 b1/GH=2.3601 t=2.564s (0.66 files/s)
[275/369] ENUM_SIEVE dim100 seed26 b1/GH=2.1510 t=2.604s (0.66 files/s)
[276/369] ENUM_SIEVE dim100 seed3234 b1/GH=2.4137 t=2.53s (0.66 files/s)
[277/369] ENUM_SIEVE dim100 seed3473 b1/GH=2.4790 t=2.498s (0.65 files/s)
[278/369] ENUM_SIEVE dim100 seed4582 b1/GH=2.2036 t=2.586s (0.65 files/s)
[279/369] ENUM_SIEVE dim100 seed46937 b1/GH=2.2816 t=2.567s (0.65 files/s)
[280/369] ENUM_SIEVE dim101 seed0 b1/GH=2.3125 t=2.654s (0.65 files/s)
[281/369] ENUM_SIEVE dim101 seed1 b1/GH=2.2037 t=2.671s (0.65 files/s)
[282/369] ENUM_SIEVE dim101 seed1423 b1/GH=2.2742 t=2.681s (0.65 files/s)
[283/369] ENUM_SIEVE dim101 seed2 b1/GH=2.3091 t=2.652s (0.64 files/s)
[284/369] ENUM_SIEVE dim101 seed2438 b1/GH=2.6684 t=2.72s (0.64 files/s)
[285/369] ENUM_SIEVE dim101 seed3128 b1/GH=2.1542 t=2.67s (0.64 files/s)
[286/369] ENUM_SIEVE dim101 seed460 b1/GH=2.3685 t=2.617s (0.64 files/s)
[287/369] ENUM_SIEVE dim101 seed5162 b1/GH=2.2034 t=2.649s (0.64 files/s)
[288/369] ENUM_SIEVE dim101 seed891 b1/GH=2.3627 t=2.691s (0.64 files/s)
[289/369] ENUM_SIEVE dim102 seed10 b1/GH=2.7897 t=2.71s (0.63 files/s)
[290/369] ENUM_SIEVE dim102 seed1186 b1/GH=2.2883 t=2.756s (0.63 files/s)
[291/369] ENUM_SIEVE dim102 seed1802 b1/GH=2.4018 t=2.762s (0.63 files/s)
[292/369] ENUM_SIEVE dim102 seed2319 b1/GH=2.3274 t=2.831s (0.63 files/s)
[293/369] ENUM_SIEVE dim102 seed24 b1/GH=2.3787 t=2.779s (0.63 files/s)
[294/369] ENUM_SIEVE dim102 seed354 b1/GH=2.3730 t=2.727s (0.63 files/s)
[295/369] ENUM_SIEVE dim102 seed599 b1/GH=2.3534 t=2.764s (0.63 files/s)
[296/369] ENUM_SIEVE dim102 seed832 b1/GH=2.3657 t=2.796s (0.62 files/s)
[297/369] ENUM_SIEVE dim102 seed89 b1/GH=2.1996 t=2.786s (0.62 files/s)
[298/369] ENUM_SIEVE dim103 seed0 b1/GH=2.1421 t=2.914s (0.62 files/s)
[299/369] ENUM_SIEVE dim103 seed1 b1/GH=2.4189 t=2.899s (0.62 files/s)
[300/369] ENUM_SIEVE dim103 seed10 b1/GH=2.3577 t=2.856s (0.62 files/s)
[301/369] ENUM_SIEVE dim103 seed246 b1/GH=2.6898 t=2.86s (0.62 files/s)
[302/369] ENUM_SIEVE dim103 seed2567 b1/GH=2.6193 t=2.856s (0.61 files/s)
[303/369] ENUM_SIEVE dim103 seed3 b1/GH=2.4487 t=2.9s (0.61 files/s)
[304/369] ENUM_SIEVE dim103 seed5099 b1/GH=2.3279 t=2.862s (0.61 files/s)
[305/369] ENUM_SIEVE dim103 seed6787 b1/GH=2.3724 t=2.899s (0.61 files/s)
[306/369] ENUM_SIEVE dim103 seed75 b1/GH=2.3077 t=2.849s (0.61 files/s)
[307/369] ENUM_SIEVE dim104 seed0 b1/GH=2.5727 t=2.949s (0.61 files/s)
[308/369] ENUM_SIEVE dim104 seed10 b1/GH=2.5872 t=2.968s (0.60 files/s)
[309/369] ENUM_SIEVE dim104 seed228 b1/GH=2.4932 t=3.013s (0.60 files/s)
[310/369] ENUM_SIEVE dim104 seed319 b1/GH=2.3521 t=2.981s (0.60 files/s)
[311/369] ENUM_SIEVE dim104 seed35 b1/GH=2.3166 t=2.956s (0.60 files/s)
[312/369] ENUM_SIEVE dim104 seed4081 b1/GH=2.3224 t=3.004s (0.60 files/s)
[313/369] ENUM_SIEVE dim104 seed77 b1/GH=2.3045 t=2.996s (0.60 files/s)
[314/369] ENUM_SIEVE dim104 seed82 b1/GH=2.4638 t=2.964s (0.60 files/s)
[315/369] ENUM_SIEVE dim104 seed85 b1/GH=2.4254 t=2.957s (0.59 files/s)
[316/369] ENUM_SIEVE dim105 seed0 b1/GH=2.5039 t=3.098s (0.59 files/s)
[317/369] ENUM_SIEVE dim105 seed1 b1/GH=2.3814 t=3.081s (0.59 files/s)
[318/369] ENUM_SIEVE dim105 seed122 b1/GH=2.6570 t=3.051s (0.59 files/s)
[319/369] ENUM_SIEVE dim105 seed1220 b1/GH=2.3609 t=3.071s (0.59 files/s)
[320/369] ENUM_SIEVE dim105 seed169 b1/GH=2.4851 t=3.057s (0.59 files/s)
[321/369] ENUM_SIEVE dim105 seed185 b1/GH=2.3242 t=3.119s (0.59 files/s)
[322/369] ENUM_SIEVE dim105 seed468 b1/GH=2.4342 t=3.066s (0.58 files/s)
[323/369] ENUM_SIEVE dim105 seed7251 b1/GH=2.6797 t=3.114s (0.58 files/s)
[324/369] ENUM_SIEVE dim105 seed997 b1/GH=2.5626 t=3.1s (0.58 files/s)
[325/369] ENUM_SIEVE dim106 seed0 b1/GH=2.5044 t=3.271s (0.58 files/s)
[326/369] ENUM_SIEVE dim106 seed1 b1/GH=2.5125 t=3.186s (0.58 files/s)
[327/369] ENUM_SIEVE dim106 seed2 b1/GH=2.4931 t=3.205s (0.58 files/s)
[328/369] ENUM_SIEVE dim106 seed3 b1/GH=2.3911 t=3.184s (0.57 files/s)
[329/369] ENUM_SIEVE dim106 seed5 b1/GH=2.4601 t=3.173s (0.57 files/s)
[330/369] ENUM_SIEVE dim106 seed513 b1/GH=2.1726 t=3.16s (0.57 files/s)
[331/369] ENUM_SIEVE dim106 seed563 b1/GH=2.4209 t=3.213s (0.57 files/s)
[332/369] ENUM_SIEVE dim106 seed73 b1/GH=2.5924 t=3.092s (0.57 files/s)
[333/369] ENUM_SIEVE dim106 seed8 b1/GH=2.5146 t=3.205s (0.57 files/s)
[334/369] ENUM_SIEVE dim107 seed0 b1/GH=2.3687 t=3.318s (0.57 files/s)
[335/369] ENUM_SIEVE dim107 seed1 b1/GH=2.6629 t=3.277s (0.56 files/s)
[336/369] ENUM_SIEVE dim107 seed130 b1/GH=2.5521 t=3.315s (0.56 files/s)
[337/369] ENUM_SIEVE dim107 seed1340 b1/GH=2.4482 t=3.308s (0.56 files/s)
[338/369] ENUM_SIEVE dim107 seed28 b1/GH=2.5890 t=3.292s (0.56 files/s)
[339/369] ENUM_SIEVE dim107 seed360 b1/GH=2.6659 t=3.34s (0.56 files/s)
[340/369] ENUM_SIEVE dim107 seed518 b1/GH=2.5744 t=3.298s (0.56 files/s)
[341/369] ENUM_SIEVE dim107 seed77 b1/GH=2.5433 t=3.296s (0.56 files/s)
[342/369] ENUM_SIEVE dim107 seed9 b1/GH=2.5126 t=3.341s (0.55 files/s)
[343/369] ENUM_SIEVE dim108 seed0 b1/GH=2.4850 t=3.439s (0.55 files/s)
[344/369] ENUM_SIEVE dim108 seed1 b1/GH=2.4323 t=3.486s (0.55 files/s)
[345/369] ENUM_SIEVE dim108 seed13 b1/GH=2.5138 t=3.358s (0.55 files/s)
[346/369] ENUM_SIEVE dim108 seed2 b1/GH=2.4417 t=3.374s (0.55 files/s)
[347/369] ENUM_SIEVE dim108 seed21 b1/GH=2.6437 t=3.4s (0.55 files/s)
[348/369] ENUM_SIEVE dim108 seed3 b1/GH=2.5976 t=3.391s (0.55 files/s)
[349/369] ENUM_SIEVE dim108 seed371 b1/GH=2.6176 t=3.414s (0.55 files/s)
[350/369] ENUM_SIEVE dim108 seed5 b1/GH=2.7166 t=3.408s (0.54 files/s)
[351/369] ENUM_SIEVE dim108 seed8 b1/GH=2.5865 t=3.377s (0.54 files/s)
[352/369] ENUM_SIEVE dim109 seed0 b1/GH=2.8571 t=3.554s (0.54 files/s)
[353/369] ENUM_SIEVE dim109 seed1 b1/GH=2.6043 t=3.5s (0.54 files/s)
[354/369] ENUM_SIEVE dim109 seed13 b1/GH=2.7488 t=3.546s (0.54 files/s)
[355/369] ENUM_SIEVE dim109 seed2 b1/GH=2.7306 t=3.572s (0.54 files/s)
[356/369] ENUM_SIEVE dim109 seed3 b1/GH=2.7315 t=3.564s (0.54 files/s)
[357/369] ENUM_SIEVE dim109 seed5 b1/GH=2.5448 t=3.6s (0.53 files/s)
[358/369] ENUM_SIEVE dim109 seed53 b1/GH=2.4762 t=3.5s (0.53 files/s)
[359/369] ENUM_SIEVE dim109 seed8 b1/GH=2.3481 t=3.602s (0.53 files/s)
[360/369] ENUM_SIEVE dim109 seed9 b1/GH=2.6880 t=3.551s (0.53 files/s)
[361/369] ENUM_SIEVE dim110 seed0 b1/GH=2.6580 t=3.689s (0.53 files/s)
[362/369] ENUM_SIEVE dim110 seed1 b1/GH=2.6147 t=3.619s (0.53 files/s)
[363/369] ENUM_SIEVE dim110 seed2 b1/GH=2.7591 t=3.71s (0.53 files/s)
[364/369] ENUM_SIEVE dim110 seed3 b1/GH=2.8107 t=3.59s (0.52 files/s)
[365/369] ENUM_SIEVE dim110 seed4 b1/GH=2.5591 t=3.66s (0.52 files/s)
[366/369] ENUM_SIEVE dim110 seed41 b1/GH=2.6451 t=3.679s (0.52 files/s)
[367/369] ENUM_SIEVE dim110 seed42 b1/GH=2.9546 t=3.684s (0.52 files/s)
[368/369] ENUM_SIEVE dim110 seed5 b1/GH=2.7380 t=3.7s (0.52 files/s)
[369/369] ENUM_SIEVE dim110 seed83 b1/GH=2.7597 t=3.661s (0.52 files/s)
[enum_sieve_server] done 369/369 in 712.0s
