dims = 70..110 (41 integer dims), seeds/dim = ALL
methods=['LLL', 'BKZ', 'ENUM']  tasks=1107  workers=19
[153/1107] dim75 BKZ seed3660 b1/GH=1.6138 t=2.751s
[154/1107] dim75 LLL seed38 b1/GH=2.2369 t=2.505s
[155/1107] dim75 ENUM seed2840 b1/GH=1.7260 t=2.876s
[156/1107] dim75 BKZ seed6 b1/GH=1.5999 t=1.752s
[157/1107] dim75 ENUM seed6 b1/GH=1.6080 t=1.845s
[158/1107] dim75 LLL seed776 b1/GH=2.1327 t=1.677s
[159/1107] dim75 BKZ seed38 b1/GH=1.5801 t=2.779s
[160/1107] dim75 ENUM seed38 b1/GH=1.5053 t=2.856s
[161/1107] dim76 LLL seed0 b1/GH=1.8649 t=1.686s
[162/1107] dim75 BKZ seed776 b1/GH=1.5256 t=1.814s
[163/1107] dim75 ENUM seed776 b1/GH=1.6242 t=1.908s
[164/1107] dim76 ENUM seed0 b1/GH=1.5530 t=1.961s
[165/1107] dim76 LLL seed309 b1/GH=1.3645 t=1.733s
[166/1107] dim76 LLL seed4782 b1/GH=1.9531 t=1.734s
[167/1107] dim76 BKZ seed0 b1/GH=1.7409 t=2.899s
[168/1107] dim76 BKZ seed4782 b1/GH=1.6724 t=1.858s
[169/1107] dim76 LLL seed164 b1/GH=1.9887 t=2.692s
[170/1107] dim76 ENUM seed4782 b1/GH=1.4295 t=1.985s
[171/1107] dim76 LLL seed57 b1/GH=1.9022 t=1.75s
[172/1107] dim76 BKZ seed164 b1/GH=1.6789 t=2.887s
[173/1107] dim76 ENUM seed531 b1/GH=1.4835 t=1.954s
[174/1107] dim76 LLL seed436 b1/GH=2.0431 t=2.655s
[175/1107] dim76 BKZ seed309 b1/GH=1.3645 t=2.879s
[176/1107] dim76 BKZ seed57 b1/GH=1.5791 t=1.892s
[177/1107] dim76 ENUM seed164 b1/GH=1.6574 t=3.145s
[178/1107] dim76 BKZ seed436 b1/GH=1.6770 t=2.843s
[179/1107] dim76 ENUM seed309 b1/GH=1.3645 t=3.041s
[180/1107] dim76 ENUM seed436 b1/GH=1.6307 t=3.012s
[181/1107] dim76 LLL seed531 b1/GH=1.9322 t=2.707s
[182/1107] dim76 LLL seed813 b1/GH=2.0036 t=1.761s
[183/1107] dim76 ENUM seed57 b1/GH=1.5056 t=2.061s
[184/1107] dim76 BKZ seed531 b1/GH=1.4835 t=2.878s
[185/1107] dim76 BKZ seed813 b1/GH=1.4688 t=1.971s
[186/1107] dim76 LLL seed866 b1/GH=2.0277 t=1.823s
[187/1107] dim77 LLL seed0 b1/GH=1.8929 t=1.92s
[188/1107] dim76 ENUM seed866 b1/GH=1.5344 t=2.06s
[189/1107] dim77 ENUM seed0 b1/GH=1.5844 t=2.118s
[190/1107] dim77 ENUM seed1 b1/GH=1.6205 t=2.15s
[191/1107] dim76 ENUM seed813 b1/GH=1.5537 t=3.152s
[192/1107] dim76 BKZ seed866 b1/GH=1.6246 t=2.931s
[193/1107] dim77 LLL seed2 b1/GH=1.6058 t=1.837s
[194/1107] dim77 ENUM seed190 b1/GH=1.4900 t=2.091s
[195/1107] dim77 LLL seed1 b1/GH=2.4690 t=2.813s
[196/1107] dim77 BKZ seed0 b1/GH=1.7809 t=3.079s
[197/1107] dim77 BKZ seed1 b1/GH=1.7242 t=3.092s
[198/1107] dim77 LLL seed100 b1/GH=1.8667 t=2.979s
[199/1107] dim77 LLL seed2955 b1/GH=1.8029 t=1.872s
[200/1107] dim77 ENUM seed2 b1/GH=1.4337 t=2.082s
[201/1107] dim77 BKZ seed100 b1/GH=1.6344 t=3.089s
[202/1107] dim77 LLL seed190 b1/GH=1.7313 t=2.873s
[203/1107] dim77 ENUM seed100 b1/GH=1.4898 t=3.406s
[204/1107] dim77 BKZ seed2955 b1/GH=1.6526 t=2.0s
[205/1107] dim77 BKZ seed190 b1/GH=1.5964 t=3.225s
[206/1107] dim77 BKZ seed2 b1/GH=1.5194 t=3.037s
[207/1107] dim77 ENUM seed2955 b1/GH=1.6391 t=2.127s
[208/1107] dim77 LLL seed3 b1/GH=1.9235 t=1.865s
[209/1107] dim77 BKZ seed3 b1/GH=1.6903 t=2.037s
[210/1107] dim77 BKZ seed584 b1/GH=1.6798 t=2.022s
[211/1107] dim77 ENUM seed584 b1/GH=1.4737 t=2.096s
[212/1107] dim78 BKZ seed0 b1/GH=1.7496 t=2.115s
[213/1107] dim77 LLL seed584 b1/GH=1.9654 t=2.865s
[214/1107] dim78 ENUM seed0 b1/GH=1.5610 t=2.216s
[215/1107] dim77 LLL seed6871 b1/GH=2.1730 t=2.817s
[216/1107] dim78 LLL seed2 b1/GH=2.1063 t=2.001s
[217/1107] dim77 ENUM seed3 b1/GH=1.6173 t=3.355s
[218/1107] dim78 LLL seed3 b1/GH=2.1921 t=1.936s
[219/1107] dim78 BKZ seed3 b1/GH=1.7119 t=2.032s
[220/1107] dim77 BKZ seed6871 b1/GH=1.7881 t=3.023s
[221/1107] dim78 LLL seed0 b1/GH=2.0348 t=3.106s
[222/1107] dim78 LLL seed1 b1/GH=1.9548 t=2.976s
[223/1107] dim77 ENUM seed6871 b1/GH=1.4806 t=3.171s
[224/1107] dim78 ENUM seed3 b1/GH=1.5840 t=2.197s
[225/1107] dim78 BKZ seed1 b1/GH=1.6252 t=3.169s
[226/1107] dim78 LLL seed42 b1/GH=2.3231 t=1.946s
[227/1107] dim78 BKZ seed42 b1/GH=1.7660 t=2.058s
[228/1107] dim78 ENUM seed1 b1/GH=1.6252 t=3.318s
[229/1107] dim78 BKZ seed2 b1/GH=1.7063 t=3.238s
[230/1107] dim78 ENUM seed2 b1/GH=1.5998 t=3.386s
[231/1107] dim78 ENUM seed42 b1/GH=1.5588 t=2.206s
[232/1107] dim78 BKZ seed84 b1/GH=1.6588 t=2.072s
[233/1107] dim78 LLL seed8916 b1/GH=2.6377 t=1.926s
[234/1107] dim78 LLL seed8978 b1/GH=1.9727 t=1.88s
[235/1107] dim78 ENUM seed8916 b1/GH=1.5865 t=2.201s
[236/1107] dim78 LLL seed84 b1/GH=2.2370 t=2.977s
[237/1107] dim78 ENUM seed9 b1/GH=1.5252 t=2.173s
[238/1107] dim79 BKZ seed0 b1/GH=1.6679 t=2.187s
[239/1107] dim78 ENUM seed84 b1/GH=1.5619 t=3.33s
[240/1107] dim79 ENUM seed0 b1/GH=1.6943 t=2.258s
[241/1107] dim78 BKZ seed8978 b1/GH=1.6597 t=3.154s
[242/1107] dim78 BKZ seed8916 b1/GH=1.7256 t=3.322s
[243/1107] dim78 LLL seed9 b1/GH=2.0414 t=2.965s
[244/1107] dim78 BKZ seed9 b1/GH=1.7893 t=3.154s
[245/1107] dim79 LLL seed0 b1/GH=2.1986 t=3.122s
[246/1107] dim79 LLL seed16 b1/GH=2.0868 t=2.059s
[247/1107] dim78 ENUM seed8978 b1/GH=1.5206 t=3.453s
[248/1107] dim79 BKZ seed16 b1/GH=1.7645 t=2.193s
[249/1107] dim79 LLL seed1639 b1/GH=2.1172 t=2.025s
[250/1107] dim79 ENUM seed16 b1/GH=1.5824 t=2.313s
[251/1107] dim79 LLL seed1013 b1/GH=2.2148 t=3.111s
[252/1107] dim79 BKZ seed1639 b1/GH=1.8045 t=2.191s
[253/1107] dim79 BKZ seed1013 b1/GH=1.7389 t=3.304s
[254/1107] dim79 LLL seed189 b1/GH=2.3698 t=2.014s
[255/1107] dim79 ENUM seed1013 b1/GH=1.7304 t=3.487s
[256/1107] dim79 BKZ seed189 b1/GH=1.7806 t=2.165s
[257/1107] dim79 LLL seed2707 b1/GH=2.0506 t=2.023s
[258/1107] dim79 LLL seed4211 b1/GH=2.3309 t=2.064s
[259/1107] dim79 LLL seed6348 b1/GH=2.0019 t=1.976s
[260/1107] dim79 ENUM seed1639 b1/GH=1.6811 t=3.517s
[261/1107] dim79 BKZ seed6348 b1/GH=1.7877 t=2.152s
[262/1107] dim79 ENUM seed4211 b1/GH=1.6515 t=2.341s
[263/1107] dim80 LLL seed1472 b1/GH=2.2453 t=2.157s
[264/1107] dim79 LLL seed4154 b1/GH=2.1194 t=3.164s
[265/1107] dim79 ENUM seed189 b1/GH=1.6987 t=3.489s
[266/1107] dim79 BKZ seed2707 b1/GH=1.5904 t=3.409s
[267/1107] dim79 ENUM seed2707 b1/GH=1.6657 t=3.55s
[268/1107] dim79 BKZ seed4154 b1/GH=1.8606 t=3.435s
[269/1107] dim80 ENUM seed1472 b1/GH=1.6946 t=2.433s
