dim	seed	initial_ratio	final_ratio	ratio_improvement	initial_defect	final_defect	defect_improvement	initial_max_cos	final_max_cos	max_cos_improvement	initial_min_cos	final_min_cos	best_episode	first_success_episode	success	file
55	5	1.698758	1.030296	0.668462	67.666997	50.697433	16.969563	0.610238	0.539798	0.070440	0.000038	0.000687	21	21	1	/home/pyjast1123/DRL/results/a6up_dim55/dim55_seed5.txt
55	7	1.438075	1.013784	0.424291	59.218751	51.151969	8.066782	0.618896	0.566775	0.052121	0.000337	0.000131	23	23	1	/home/pyjast1123/DRL/results/a6up_dim55/dim55_seed7.txt
55	9	1.419824	1.047701	0.372123	56.437347	51.180265	5.257082	0.562299	0.520331	0.041968	0.000059	0.000013	8	8	1	/home/pyjast1123/DRL/results/a6up_dim55/dim55_seed9.txt
55	11	1.595138	1.084283	0.510855	63.832541	50.271878	13.560663	0.681315	0.559939	0.121376	0.000086	0.000065	6	NA	0	/home/pyjast1123/DRL/results/a6up_dim55/dim55_seed11.txt
55	13	1.380129	1.043607	0.336522	61.149527	50.473647	10.675880	0.626689	0.519279	0.107410	0.000009	0.000002	4	4	1	/home/pyjast1123/DRL/results/a6up_dim55/dim55_seed13.txt
56	0	1.404762	1.040193	0.364569	65.358368	52.128876	13.229492	0.725695	0.516782	0.208913	0.000108	0.000386	3	3	1	/home/pyjast1123/DRL/results/a6up_dim56/dim56_seed0.txt
56	1	1.446850	1.085817	0.361033	63.644470	52.208893	11.435577	0.643975	0.501577	0.142398	0.000242	0.000026	4	NA	0	/home/pyjast1123/DRL/results/a6up_dim56/dim56_seed1.txt
56	2	1.276339	1.044984	0.231354	59.582062	52.547699	7.034363	0.543568	0.551634	-0.008066	0.000030	0.000505	8	8	1	/home/pyjast1123/DRL/results/a6up_dim56/dim56_seed2.txt
56	3	1.479204	1.070691	0.408513	63.528381	52.236877	11.291504	0.626879	0.579434	0.047445	0.000087	0.000050	4	NA	0	/home/pyjast1123/DRL/results/a6up_dim56/dim56_seed3.txt
56	5	1.512932	1.046646	0.466286	64.614105	51.038757	13.575348	0.585760	0.542463	0.043297	0.000065	0.000007	13	13	1	/home/pyjast1123/DRL/results/a6up_dim56/dim56_seed5.txt
56	7	1.418979	1.075532	0.343447	63.575897	54.364441	9.211456	0.626588	0.505560	0.121028	0.000019	0.000521	2	NA	0	/home/pyjast1123/DRL/results/a6up_dim56/dim56_seed7.txt
56	9	1.733549	1.030674	0.702875	67.076599	50.044067	17.032532	0.568921	0.545100	0.023822	0.000024	0.000212	3	3	1	/home/pyjast1123/DRL/results/a6up_dim56/dim56_seed9.txt
56	11	1.378660	1.034404	0.344255	59.409912	51.880768	7.529144	0.648484	0.520952	0.127531	0.000193	0.000018	3	3	1	/home/pyjast1123/DRL/results/a6up_dim56/dim56_seed11.txt
56	13	1.595787	1.037174	0.558613	64.028107	50.428040	13.600067	0.580642	0.521245	0.059397	0.000011	0.000087	3	3	1	/home/pyjast1123/DRL/results/a6up_dim56/dim56_seed13.txt
57	0	1.444403	1.053773	0.390629	66.701141	54.476624	12.224518	0.660294	0.595941	0.064353	0.000043	0.000176	5	NA	0	/home/pyjast1123/DRL/results/a6up_dim57/dim57_seed0.txt
57	1	1.700554	1.058683	0.641871	65.442963	54.807068	10.635895	0.654666	0.552792	0.101873	0.000060	0.000030	18	NA	0	/home/pyjast1123/DRL/results/a6up_dim57/dim57_seed1.txt
57	2	1.636444	1.072057	0.564387	64.491089	54.147919	10.343170	0.600293	0.572678	0.027616	0.000068	0.000261	10	NA	0	/home/pyjast1123/DRL/results/a6up_dim57/dim57_seed2.txt
57	3	1.595185	1.033865	0.561320	66.131897	54.422546	11.709351	0.608805	0.578553	0.030252	0.000014	0.000050	24	24	1	/home/pyjast1123/DRL/results/a6up_dim57/dim57_seed3.txt
57	5	1.294098	1.031721	0.262377	64.537689	52.004059	12.533630	0.645401	0.570761	0.074640	0.000011	0.000250	8	6	1	/home/pyjast1123/DRL/results/a6up_dim57/dim57_seed5.txt
