dimension,num_records,seeds,contestant_algorithm_pairs,top_record
105,14,0 1 122 169 185 468 997 1220 7251,"Jim Johnson :: Sieving | Nikolaos Chatzis and Konstantinos A. Draziotis :: ENUM,BKZ | Junpei Yamaguchi and Masaya Yasuda :: Other | Zhongxiang Zheng and Xiaoyun Wang :: BKZ | Fï¿½bio Correia, Artur Mariano and Alberto Proenï¿½a :: ENUM","pos=306, seed=7251, norm=2390, author=Jim Johnson, algorithm=Sieving"
104,14,0 10 35 77 82 85 228 319 4081,"Jim Johnson :: Sieving | N. Tateiwa, Y. Shinano, A. Yoshida, S. Nakamura, S. Kaji, M. Yasuda, K. Fujisawa :: ENUM,BKZ | Michael Burger :: ENUM,Sieving | Junpei Yamaguchi and Masaya Yasuda :: Other | Kenji Kashiwabara and Masaharu Fukase :: Other | Urs Wagner :: Other | Yuanmi Chen and Phong Nguyen :: Other","pos=320, seed=4081, norm=2403, author=Jim Johnson, algorithm=Sieving"
103,13,0 3 10 75 246 2567 5099 6787,"Jim Johnson :: Sieving | N. Tateiwa, Y. Shinano, K. Yamamura, A. Yoshida, S. Kaji, M. Yasuda, K. Fujisawa :: BKZ | Junpei Yamaguchi and Masaya Yasuda :: Other | Fï¿½bio Correia, Artur Mariano and Alberto Proenï¿½a :: ENUM | Alex Li :: BKZ,Other","pos=334, seed=6787, norm=2396, author=Jim Johnson, algorithm=Sieving"
102,13,0 10 24 89 354 599 832 1186 1802 2319,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Masaya Yasuda :: Other | Junpei Yamaguchi and Masaya Yasuda :: Other | Kenji Kashiwabara and Masaharu Fukase :: Other | Po-Chun Kuo :: ENUM,Other | Yuanmi Chen and Phong Nguyen :: Other","pos=347, seed=2319, norm=2369, author=Jim Johnson, algorithm=Sieving"
101,11,0 460 891 1423 2438 3128 5162,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Hayato Waki and Masaya Yasuda :: BKZ,Other | Fï¿½bio Correia, Artur Mariano and Alberto Proenï¿½a :: ENUM | Alex Li :: BKZ,Other","pos=360, seed=5162, norm=2343, author=Jim Johnson, algorithm=Sieving"
100,12,0 1 26 218 1342 3234 3473 4582 46937,"Ziyu Zhao, Jintai Ding, Bo-Yin Yang :: Sieving | Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Felix Fontein :: BKZ,Other | Po-Chun Kuo, Michael Schneider :: ENUM,BKZ | Michael Schneider, ï¿½zgï¿½r Dagdelen, Jan Reichelt :: ENUM,Other | Yuanmi Chen and Phong Nguyen :: Other","pos=371, seed=46937, norm=2214, author=Ziyu Zhao, Jintai Ding, Bo-Yin Yang, algorithm=Sieving"
99,19,0 400 423 432 487 603 691 997 998 999 1042 1145 1251 1445 1679 5569,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Nikolaos Chatzis and Konstadinos A. Draziotis :: ENUM,BKZ | Satoshi Nakamura,Michiko Ooka,Junpei Yamaguchi,Masaya Yasuda :: Other | Zhongxiang Zheng and Xiaoyun Wang :: BKZ | Fï¿½bio Correia and Artur Mariano :: ENUM","pos=383, seed=5569, norm=2338, author=Jim Johnson, algorithm=Sieving"
98,10,0 27 33 111 116 129 239 6139,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Nikolaos Chatzis and Konstadinos A. Draziotis :: ENUM,BKZ | Yuanmi Chen and Phong Nguyen :: Other","pos=402, seed=6139, norm=2260, author=Jim Johnson, algorithm=Sieving"
97,10,0 164 243 404 510 906 1033 4198 7582,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Satoshi Nakamura,Michiko Ooka,Junpei Yamaguchi,Masaya Yasuda :: Other | Hayato Waki and Masaya Yasuda :: BKZ,Other | Alex Li :: BKZ","pos=412, seed=7582, norm=2304, author=Jim Johnson, algorithm=Sieving"
96,21,0 3 7 14 18 19 21 122 145 301 414 860 970 1677 3376 8012,"Jim Johnson :: Sieving | N. Tateiwa, Y. Shinano, A. Yoshida, S. Nakamura, S. Kaji, M. Yasuda, K. Fujisawa :: ENUM,BKZ | Nariaki Tateiwa, Akihiro Yoshida, Satoshi Nakamura, Shizuo Kaji, Masaya Yasuda, Katsuki Fujisawa :: ENUM,BKZ | Michael Burger :: ENUM,BKZ | Nikolaos Chatzis and Konstadinos A. Draziotis :: ENUM,BKZ | Tsukasa Ishiguro, Shinsaku Kiyomoto, Yutaka Miyake, Tsuyoshi Takagi :: Sieving | Urs Wagner :: Other | Yuanmi Chen and Phong Nguyen :: Other","pos=422, seed=8012, norm=2314, author=Jim Johnson, algorithm=Sieving"
95,13,0 121 122 135 248 521 4056,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Nikolaos Chatzis and Konstadinos A. Draziotis :: ENUM,BKZ | Junpei Yamaguchi, Masaya Yasuda and Takuya Hayashi :: Other | Fï¿½bio Correia, Artur Mariano and Alberto Proenï¿½a :: ENUM | Alex Li :: BKZ,Other","pos=443, seed=4056, norm=2220, author=Jim Johnson, algorithm=Sieving"
94,10,0 147 229 650 678 800 4719,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Nikolaos Chatzis and Konstadinos A. Draziotis :: ENUM,BKZ | Malin Haque, Dipta Das & Nafiul Hassan :: Other | Phong Nguyen :: ENUM | Michael Schneider, ï¿½zgï¿½r Dagdelen, Jan Reichelt :: BKZ,Other | Yuanmi Chen and Phong Nguyen :: Other","pos=456, seed=4719, norm=2276, author=Jim Johnson, algorithm=Sieving"
93,7,0 133 257 283 302 1139,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Hayato Waki and Masaya Yasuda :: BKZ,Other | Alex Li :: ENUM,BKZ | Fï¿½bio Correia, Artur Mariano and Alberto Proenï¿½a :: ENUM","pos=466, seed=1139, norm=2190, author=Jim Johnson, algorithm=Sieving"
92,9,0 60 148 501 904 1351,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Artur Mariano :: Sieving | Michael Schneider, ï¿½zgï¿½r Dagdelen, Jan Reichelt :: ENUM,Other | Urs Wagner :: Other | Yuanmi Chen and Phong Nguyen :: Other","pos=473, seed=1351, norm=2266, author=Jim Johnson, algorithm=Sieving"
91,11,0 78 161 421 733 778 1203 1303 3924 5621,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Malin Haque, Dipta Das & Nafiul Hassan :: Other | Alex Li :: ENUM,BKZ | Dan Ding :: BKZ,Other","pos=482, seed=5621, norm=2239, author=Jim Johnson, algorithm=Sieving"
90,7,0 9 11 78 1705 3568,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Felix Fontein :: BKZ,Other | Michael Schneider, ï¿½zgï¿½r Dagdelen, Jan Reichelt :: ENUM,Other | Yuanmi Chen and Phong Nguyen :: Other","pos=493, seed=3568, norm=2202, author=Jim Johnson, algorithm=Sieving"
89,9,0 7 218 223 994 1512 5193 6281,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Hayato Waki and Masaya Yasuda :: BKZ,Other | Alex Li :: BKZ,Other | Yuntao Wang, Tsuyoshi Takagi :: BKZ | Kenji Kashiwabara and Masaharu Fukase :: Other | P.G. Demidov Yaroslavl State University team :: Other","pos=500, seed=6281, norm=2209, author=Jim Johnson, algorithm=Sieving"
88,2,6 184,"Hayato Waki and Masaya Yasuda :: BKZ,Other | Michael Schneider :: BKZ","pos=509, seed=184, norm=2192, author=Hayato Waki and Masaya Yasuda, algorithm=BKZ,Other"
87,11,0 4 6 15 295 606 629 1112 2488 9651,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Alex Li :: BKZ,Other | Malin Haque :: BKZ | Dan Ding :: BKZ,Other","pos=511, seed=9651, norm=2114, author=Jim Johnson, algorithm=Sieving"
86,15,0 9 203 249 279 308 446 456 1755 2825 2966 5233 8971,"Jim Johnson :: Sieving | N. Tateiwa, Y. Shinano, A. Yoshida, S. Nakamura, S. Kaji, M. Yasuda, K. Fujisawa :: ENUM,BKZ | Michael Burger :: ENUM,BKZ | Artur Mariano :: Sieving | Dan Ding :: BKZ,Other | Moon Sung Lee :: BKZ","pos=522, seed=8971, norm=2174, author=Jim Johnson, algorithm=Sieving"
85,7,0 8 64 204 785,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Alex Li :: ENUM,BKZ | Artur Mariano and Christian Bischof :: Sieving | Kenji Kashiwabara and Masaharu Fukase :: Other | Dan Ding :: BKZ,Other | Michael Schneider, Norman Gï¿½ttert :: Other","pos=537, seed=785, norm=2127, author=Jim Johnson, algorithm=Sieving"
84,5,9 311 673 826 1175,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Hayato Waki and Masaya Yasuda :: BKZ,Other | Michael Schneider :: BKZ","pos=544, seed=1175, norm=2158, author=Jim Johnson, algorithm=Sieving"
83,8,0 64 237 316 899 5121 5123 6036,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Artur Mariano und Christian Bischof :: Sieving | Malin Haque :: BKZ | Dan Ding :: BKZ,Other","pos=549, seed=6036, norm=2100, author=Jim Johnson, algorithm=Sieving"
82,8,0 93 155 2896 5001 5850 6917 8449,"Jim Johnson :: Sieving | N. Tateiwa, Y. Shinano, A. Yoshida, S. Nakamura, S. Kaji, M. Yasuda, K. Fujisawa :: ENUM,BKZ | Michael Burger :: ENUM,BKZ | Hayato Waki and Masaya Yasuda :: BKZ,Other | Moon Sung Lee :: Sieving","pos=557, seed=8449, norm=2043, author=Jim Johnson, algorithm=Sieving"
81,8,0 71 299 3273 4174 6473 7137 9152,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Dan Ding :: BKZ,Other | Usatyuk Vasiliy :: BKZ","pos=565, seed=9152, norm=2073, author=Jim Johnson, algorithm=Sieving"
80,11,0 1 8 426 720 1472 1728 3865 5904 7856 7951,"Jim Johnson :: Sieving | Michael Burger :: ENUM,BKZ | Dipta Das & Nafiul Hassan :: Other | Felix Fontein :: BKZ,Other | Michael Schneider, ï¿½zgï¿½r Dagdelen, Jan Reichelt :: ENUM,Other | Benjamin Milde :: Sieving","pos=573, seed=7951, norm=2040, author=Jim Johnson, algorithm=Sieving"
