position,dimension,norm,seed,contestant,algorithm,subm_date,approx_factor,title_note
639,73,1968,179,Hayato Waki and Masaya Yasuda,"BKZ,Other",2016-06-20,0.89729,
640,73,2044,74,Walter White,Other,2013-09-24,0.93025,
641,73,2190,0,Dan Ding,"BKZ,Other",2013-02-21,1.00332,60614.9s
642,73,2220,0,Dan Ding,"BKZ,Other",2013-02-21,1.01727,38747.3s
643,73,2235,0,Dan Ding,"BKZ,Other",2013-02-20,1.02427,8172.8s
644,73,2254,0,Dan Ding,"BKZ,Other",2013-02-20,1.03260,1828.19s using genectic algorithms with a preprocessing of a bkz blocksize=3
645,72,1871,7260,Jim Johnson,Sieving,2021-10-7,0.86492,Modified G6K Workout. Total CPU time: 1.5903s.
646,72,1958,6214,Jim Johnson,Sieving,2021-10-6,0.89906,Modified G6K Workout. Total CPU time: 1.0650s.
647,72,1962,5555,Jim Johnson,Sieving,2021-10-1,0.89944,Modified G6K Workout. Total CPU time 4.4982s.
648,72,1972,5499,Jim Johnson,Sieving,2021-10-1,0.90960,Modified G6K Workout. Total CPU time:2.3606s.
649,72,1973,5076,Jim Johnson,Sieving,2021-09-27,0.90866,Modified G6K Workout. Total CPU time: 1.4733s.
650,72,2022,4058,"N. Tateiwa, Y. Shinano, A. Yoshida, S. Nakamura, S. Kaji, M. Yasuda, K. Fujisawa","ENUM,BKZ",2019-09-13,0.93483,parallel Enum
651,72,2033,1077,"N. Tateiwa, Y. Shinano, A. Yoshida, S. Nakamura, S. Kaji, M. Yasuda, K. Fujisawa","ENUM,BKZ",2019-09-13,0.93631,parallel Enum
652,72,2048,4056,"N. Tateiwa, Y. Shinano, A. Yoshida, S. Nakamura, S. Kaji, M. Yasuda, K. Fujisawa","ENUM,BKZ",2019-09-13,0.93940,parallel Enum
653,72,2049,16,"Dan Ding, Guizhen Zhu and Xiaoyun Wang","BKZ,Other",2014-02-8,0.94219,"A Genetic Algorithm with a preprocessing of BKZ, using 5481.16s on a IBM Blade Server"
654,72,2077,98,Walter White,Other,2013-09-24,0.95702,
655,72,2179,0,Moon Sung Lee,Sieving,2010-10-22,1.00417,Runtime : 1352m
656,72,2234,0,Michael Schneider,BKZ,2010-09-13,1.02931,BKZ 2-29 in sage
657,71,1890,885,Hayato Waki and Masaya Yasuda,"BKZ,Other",2016-11-4,0.87536,
658,71,2033,31,Walter White,Other,2013-09-24,0.93922,
659,71,2195,1000,Malin Haque,BKZ,2013-05-3,1.01974,
660,71,2215,53,Usatyuk Vasiliy,BKZ,2012-08-30,1.02110,"block 29, 23 s"
661,71,2252,1,Michael Schneider,Other,2011-05-26,1.04648,Random Sampling on GPU
662,70,1869,4592,Jim Johnson,Sieving,2021-10-10,0.87228,Modified G6K Workout Total CPU time: 1.9014s.
663,70,1903,1815,Hayato Waki and Masaya Yasuda,"BKZ,Other",2016-06-23,0.88626,
664,70,1986,17,Felix Fontein,Other,2012-07-3,0.92427,"LLL (alpha = 0.99) with Deep Insertions (blocksize 20),<br />pre-reduction with LLL (alpha = 0.75),<br />running time was 1.5 h (without pre-reduction)"
665,70,2143,0,Benjamin Milde,Sieving,2010-05-11,0.99846,gsieve-parallel-alpha
666,69,1896,2675,"Malin Haque, Dipta Das & Nafiul Hassan",BKZ,2016-10-31,0.88725,
667,69,1972,555,"Malin Haque, Dipta Das & Nafiul Hassan",BKZ,2016-10-31,0.92397,
668,69,2005,63,Walter White,Other,2013-09-24,0.94184,
669,69,2212,0,Dan Ding,"BKZ,Other",2013-02-20,1.03643,4317.45s totally
670,69,2226,0,Dan Ding,"BKZ,Other",2013-02-20,1.04258,1294s
671,68,1896,7542,Jim Johnson,Sieving,2021-09-28,0.89260,Modified G6K. Total CPU time 2.3658s.
672,68,1921,1861,Jim Johnson,Sieving,2021-09-27,0.90743,Modified G6K. Total CPU time: 1.9401s.
673,68,1927,539,Hayato Waki and Masaya Yasuda,"BKZ,Other",2016-06-18,0.90977,
674,68,1964,16,Walter White,Other,2013-09-24,0.92681,
675,68,2038,3545421,Usatyuk Vasiliy,BKZ,2012-08-24,0.96813,
676,68,2141,0,Moon Sung Lee,Sieving,2010-10-22,1.01033,Runtime : 362m
677,67,1838,63098,Qianxue Cao,Sieving,2024-02-25,0.87545,modified g6k workout + random seed
678,67,1889,8165,Jim Johnson,Sieving,2021-09-28,0.89846,Modified G6K. Total CPU time 0.8708s.
679,67,1895,72,Walter White,Other,2013-09-24,0.90154,
680,67,2158,100,Malin Haque,BKZ,2013-05-3,1.03035,
681,67,2177,100,Malin Haque,BKZ,2013-05-3,1.03909,
682,67,2187,0,Dan Ding,"BKZ,Other",2013-02-20,1.03965,Generated using a genetic algprothm with a pre-reduction bkz block=3 on an IBM blade. Totally 2187s.
683,66,1846,95480,Qianxue Cao,Sieving,2024-03-5,0.88665,modified workout + random seed
684,66,1857,6301,Jim Johnson,Sieving,2021-09-27,0.89299,Modified G6K Workout. Total CPU time: 0.6421s.
685,66,1885,5822,Jim Johnson,Sieving,2021-09-27,0.90750,Modified G6K Workout. Total CPU time: 0.5822s.
686,66,1893,241,Jim Johnson,Sieving,2021-09-25,0.90418,Modified G6K Workout. Total CPU time: 0.7065s.
687,66,1960,93,Jim Johnson,Sieving,2021-09-25,0.93533,Modified G6K Workout. Total CPU time: 0.4199s.
688,66,1971,3,"Dan Ding, Guizhen Zhu, Xiaoyun Wang","BKZ,Other",2014-02-8,0.94674,"A Genetic Algorithm with a Preprocessing of BKZ, using 1473.15s on a 16-Core IBM Blade Server"
689,66,2000,15,Walter White,Other,2013-09-24,0.96380,
690,66,2036,3,Dan Ding,"BKZ,Other",2013-02-18,0.97783,Using a genetic algorithm with a pre-reduction LLL on a IBM blade. Approximately 1 hour
691,66,2072,4,Moon Sung Lee,Sieving,2010-10-25,0.99649,
692,66,2099,3,Michael Schneider,BKZ,2010-09-13,1.00846,BKZ 2-24 in sage
693,66,2120,2,Michael Schneider,BKZ,2010-09-13,1.01749,BKZ 2-14 in sage
694,65,1841,6242,Jim Johnson,Sieving,2021-09-29,0.88543,Modified G6K. Total CPU time 1.2715s.
695,65,1852,1471,Jim Johnson,Sieving,2021-09-26,0.89244,Modified G6K Workout. Total CPU time: 1.0740s.
696,65,1890,1264,Jim Johnson,Sieving,2021-09-26,0.91767,Modified G6K Workout. Total CPU time: 0.3922s.
697,65,1905,995,Hayato Waki and Masaya Yasuda,"BKZ,Other",2016-06-16,0.92387,
698,65,1947,83,Walter White,Other,2013-09-24,0.94061,
699,65,2077,1427,P.G. Demidov Yaroslavl State University team,Other,2013-04-16,1.00646,
700,64,1797,8154,Jim Johnson,Sieving,2021-09-29,0.87125,Modified G6K Workout. Total CPU time 0.2089s.
701,64,1810,4209,Jim Johnson,Sieving,2021-09-27,0.88568,Modified G6K. Total CPU time 0.3648s.
702,64,1842,4020,Jim Johnson,Sieving,2021-09-26,0.89393,Modified G6K Workout. Total CPU time: 0.4426s.
703,64,1880,2793,"Malin Haque, Dipta Das & Nafiul Hassan",BKZ,2016-10-30,0.91922,
704,64,1886,40,Walter White,Other,2013-09-24,0.91690,
705,64,1938,5,Jan Reichelt,Other,2011-06-29,0.94010,LLL-Prereduction. Ant Colony Optimiziation using Probabilistic Beam search.
706,64,2103,0,Moon Sung Lee,Sieving,2010-10-22,1.02505,Method : Gauss sieve Runtime : 80m
707,63,1738,1483,Jim Johnson,Sieving,2021-09-27,0.85489,Modified G6K Workout. Total CPU time: 0.2284s.
708,63,1849,1119,Jim Johnson,Sieving,2021-09-26,0.90251,Modified G6K Workout. Total CPU time: 0.4037s.
709,63,1850,284,Jim Johnson,Sieving,2021-09-26,0.91014,Modified G6K Workout. Total CPU time: 0.8401s.
710,63,1878,77,Walter White,Other,2013-09-24,0.92154,
711,63,2048,100,Malin Haque,BKZ,2013-05-3,1.00945,
712,63,2106,15,Jan Reichelt,Other,2011-05-29,1.02815,LLL-Prereduction-Ant Colony Optimization using Probabilistic Beam Search
713,62,1738,8366,Jim Johnson,Sieving,2021-10-1,0.85383,Modified G6K Workout. Total CPU time 0.1481s.
714,62,1766,2289,Hayato Waki and Masaya Yasuda,"BKZ,Other",2016-11-22,0.86846,
715,62,1818,776,"Dan Ding, Guizhen Zhu and Xiaoyun Wang","BKZ,Other",2014-02-8,0.90283,"A Genetic Algorithm with a Preprocessing of BKZ, using 834.09s on a IBM Blade"
716,62,1887,26,Walter White,Other,2013-09-24,0.93271,
717,62,2048,137,Usatyuk Vasiliy,BKZ,2012-08-24,1.00892,
718,62,2092,0,Moon Sung Lee,Sieving,2010-10-22,1.03335,Method : Gauss sieve Runtime : 35m
719,62,2118,0,"Antonio Campello, Joï¿½o Strapasson and Cristiano Torezzan","BKZ,Other",2010-10-15,1.04610,"There are also small vectors of norms 2153 2176, 2186 and 2238 below Gaussian Heuristic estimation"
720,61,1670,8436,Jim Johnson,Sieving,2021-10-2,0.83578,Modified G6K Workout. Total CPU time: 0.0234s.
721,61,1726,557,Hayato Waki and Masaya Yasuda,"BKZ,Other",2016-06-13,0.85889,
722,61,1869,95,Walter White,Other,2013-09-24,0.93396,
723,61,2112,0,Malin Haque,BKZ,2013-04-24,1.04626,
724,60,1743,2677,Jim Johnson,Sieving,2021-09-27,0.87936,Modified G6K. Total CPU time 0.3422s.
725,60,1752,526,"Dan Ding, Guizhen Zhu and Xiaoyun Wang","BKZ,Other",2014-02-8,0.87565,"A Genetic Algorithm with a Preprocessing of BKZ, using 589.873s on a IBM Blade"
726,60,1776,45,Felix Fontein,BKZ,2012-08-5,0.88997,"standard Schnorr-Euchner BKZ with blocksize 20 and alpha = 0.99, needed 7.31 seconds"
