dim,seed,method,pipeline,norm,gh,norm_over_gh,file,status,error
50,3203,bkz20_30,20+30,1908.8213640883205,1742.7626168576028,1.0952847769538117,svp_dim50_seed3203.txt,ok,
50,3203,bkz20_30_40,20+30+40,1908.8213640883205,1742.7626168576028,1.0952847769538117,svp_dim50_seed3203.txt,ok,
50,3203,lll,LLL,1908.8213640883205,1742.7626168576012,1.0952847769538125,svp_dim50_seed3203.txt,ok,
51,0,bkz20,20,2097.3139965203127,1768.0564030433786,1.1862257295130283,svp_dim51_seed0.txt,ok,
51,0,bkz20_30,20+30,2097.3139965203127,1768.0564030433738,1.1862257295130314,svp_dim51_seed0.txt,ok,
51,0,bkz20_30_40,20+30+40,2097.3139965203127,1768.056403043377,1.1862257295130294,svp_dim51_seed0.txt,ok,
51,0,lll,LLL,2097.3139965203127,1768.0564030433723,1.1862257295130325,svp_dim51_seed0.txt,ok,
51,1,bkz20,20,2221.904588410584,1753.338239948817,1.2672424166574072,svp_dim51_seed1.txt,ok,
51,1,bkz20_30,20+30,1977.7593382411312,1753.3382399488216,1.127996465929392,svp_dim51_seed1.txt,ok,
51,1,bkz20_30_40,20+30+40,1977.7593382411312,1753.3382399488187,1.127996465929394,svp_dim51_seed1.txt,ok,
51,1,lll,LLL,2613.048028643944,1753.3382399488187,1.4903274046656398,svp_dim51_seed1.txt,ok,
51,2,bkz20,20,2248.9466423194663,1754.0213181624194,1.282166082608135,svp_dim51_seed2.txt,ok,
51,2,bkz20_30,20+30,2105.50801470809,1754.0213181624194,1.2003890676276965,svp_dim51_seed2.txt,ok,
51,2,bkz20_30_40,20+30+40,1950.1082021262298,1754.0213181624179,1.1117927598332957,svp_dim51_seed2.txt,ok,
51,2,lll,LLL,2456.0067182318535,1754.0213181624224,1.4002148621573522,svp_dim51_seed2.txt,ok,
51,3,bkz20,20,1979.0368869730553,1763.3954350222111,1.1222876319559758,svp_dim51_seed3.txt,ok,
51,3,bkz20_30,20+30,1979.0368869730553,1763.3954350222095,1.122287631955977,svp_dim51_seed3.txt,ok,
51,3,bkz20_30_40,20+30+40,1979.0368869730553,1763.3954350222064,1.122287631955979,svp_dim51_seed3.txt,ok,
51,3,lll,LLL,2605.283285940321,1763.3954350222064,1.4774243111883256,svp_dim51_seed3.txt,ok,
51,5,bkz20,20,2314.9218129345113,1757.030715061974,1.3175192630897514,svp_dim51_seed5.txt,ok,
51,5,bkz20_30,20+30,2083.6194470200167,1757.0307150619756,1.1858753686878611,svp_dim51_seed5.txt,ok,
51,5,bkz20_30_40,20+30+40,2019.9430685046545,1757.030715061974,1.1496344663692502,svp_dim51_seed5.txt,ok,
51,5,lll,LLL,2551.0388080152757,1757.0307150619772,1.4519033652324573,svp_dim51_seed5.txt,ok,
51,99,bkz20,20,2284.1444787928817,1755.3405335070472,1.3012543350943542,svp_dim51_seed99.txt,ok,
51,99,bkz20_30,20+30,2136.3513287846654,1755.3405335070472,1.2170580511328961,svp_dim51_seed99.txt,ok,
51,99,bkz20_30_40,20+30+40,2011.6441037121847,1755.3405335070504,1.146013588424952,svp_dim51_seed99.txt,ok,
51,99,lll,LLL,2482.031023174367,1755.3405335070536,1.4139883263650468,svp_dim51_seed99.txt,ok,
51,101,bkz20,20,2361.42922824293,1761.3957604235652,1.3406579493952422,svp_dim51_seed101.txt,ok,
51,101,bkz20_30,20+30,2048.5516835071553,1761.3957604235698,1.163027486233152,svp_dim51_seed101.txt,ok,
51,101,bkz20_30_40,20+30+40,1990.8231965697014,1761.3957604235666,1.1302532010699082,svp_dim51_seed101.txt,ok,
51,101,lll,LLL,2427.5493815780546,1761.3957604235682,1.37819644859046,svp_dim51_seed101.txt,ok,
51,190,bkz20,20,2285.39974621509,1762.139511812798,1.2969459744217353,svp_dim51_seed190.txt,ok,
51,190,bkz20_30,20+30,2046.7764899959145,1762.1395118127996,1.1615291957730947,svp_dim51_seed190.txt,ok,
51,190,bkz20_30_40,20+30+40,2046.7764899959145,1762.1395118127919,1.1615291957730998,svp_dim51_seed190.txt,ok,
51,190,lll,LLL,2686.308061261777,1762.1395118127948,1.524458218690214,svp_dim51_seed190.txt,ok,
51,1435,bkz20,20,1958.3007940559082,1767.74616626549,1.1077952431332267,svp_dim51_seed1435.txt,ok,
51,1435,bkz20_30,20+30,1958.3007940559082,1767.7461662654964,1.107795243133223,svp_dim51_seed1435.txt,ok,
51,1435,bkz20_30_40,20+30+40,1958.3007940559082,1767.7461662654964,1.107795243133223,svp_dim51_seed1435.txt,ok,
51,1435,lll,LLL,1958.3007940559082,1767.7461662654964,1.107795243133223,svp_dim51_seed1435.txt,ok,
52,0,bkz20,20,2256.1343045129206,1784.8307390493956,1.264060650207393,svp_dim52_seed0.txt,ok,
52,0,bkz20_30,20+30,2126.7569207598694,1784.830739049402,1.1915734496440693,svp_dim52_seed0.txt,ok,
52,0,bkz20_30_40,20+30+40,2069.0328658578615,1784.8307390493987,1.1592319767866777,svp_dim52_seed0.txt,ok,
52,0,lll,LLL,2878.4144941269305,1784.8307390493956,1.6127100632858775,svp_dim52_seed0.txt,ok,
52,1,bkz20,20,2283.511112300529,1775.0996824547663,1.2864128898624365,svp_dim52_seed1.txt,ok,
52,1,bkz20_30,20+30,2105.8708412435926,1775.0996824547694,1.1863394839502213,svp_dim52_seed1.txt,ok,
52,1,bkz20_30_40,20+30+40,2105.8708412435926,1775.0996824547647,1.1863394839502244,svp_dim52_seed1.txt,ok,
52,1,lll,LLL,2874.8730406750137,1775.0996824547663,1.6195558306333437,svp_dim52_seed1.txt,ok,
52,2,bkz20,20,2320.4889570950336,1777.3681998715006,1.305575826811124,svp_dim52_seed2.txt,ok,
52,2,bkz20_30,20+30,2202.4188974852173,1777.3681998715037,1.239146113700269,svp_dim52_seed2.txt,ok,
52,2,bkz20_30_40,20+30+40,2034.4692182483373,1777.3681998715022,1.144652649009599,svp_dim52_seed2.txt,ok,
52,2,lll,LLL,2320.4889570950336,1777.368199871507,1.3055758268111193,svp_dim52_seed2.txt,ok,
52,3,bkz20,20,2384.0207633323994,1774.0990162628957,1.3437923934788554,svp_dim52_seed3.txt,ok,
52,3,bkz20_30,20+30,2105.236091273375,1774.099016262894,1.1866508419062287,svp_dim52_seed3.txt,ok,
52,3,bkz20_30_40,20+30+40,2008.7296980928024,1774.0990162628957,1.132253430997415,svp_dim52_seed3.txt,ok,
52,3,lll,LLL,2450.0577544213133,1774.0990162628957,1.3810152262990998,svp_dim52_seed3.txt,ok,
52,5,bkz20,20,2265.6127206563797,1764.8341525714907,1.2837538968492979,svp_dim52_seed5.txt,ok,
52,5,bkz20_30,20+30,2180.7248794838833,1764.8341525714939,1.2356542830420671,svp_dim52_seed5.txt,ok,
52,5,bkz20_30_40,20+30+40,2147.072425420251,1764.8341525714923,1.2165859450826073,svp_dim52_seed5.txt,ok,
52,5,lll,LLL,2539.3402686524696,1764.8341525714907,1.4388549003046363,svp_dim52_seed5.txt,ok,
52,8,bkz20,20,2152.406560108939,1772.066089911334,1.2146310864831436,svp_dim52_seed8.txt,ok,
52,8,bkz20_30,20+30,2046.731296482273,1772.0660899113386,1.1549971573490674,svp_dim52_seed8.txt,ok,
52,8,bkz20_30_40,20+30+40,2046.731296482273,1772.0660899113386,1.1549971573490674,svp_dim52_seed8.txt,ok,
52,8,lll,LLL,2385.716873394661,1772.0660899113386,1.3462911383367338,svp_dim52_seed8.txt,ok,
52,45,bkz20,20,2397.3320587686653,1772.96047776572,1.3521632821673366,svp_dim52_seed45.txt,ok,
52,45,bkz20_30,20+30,2184.303779239509,1772.9604777657185,1.2320092899037234,svp_dim52_seed45.txt,ok,
52,45,bkz20_30_40,20+30+40,2037.6361304217198,1772.9604777657216,1.1492845756999284,svp_dim52_seed45.txt,ok,
52,45,lll,LLL,2397.3320587686653,1772.96047776572,1.3521632821673366,svp_dim52_seed45.txt,ok,
52,796,bkz20,20,2232.0421142980267,1776.790232851944,1.2562215128317953,svp_dim52_seed796.txt,ok,
52,796,bkz20_30,20+30,2232.0421142980267,1776.790232851944,1.2562215128317953,svp_dim52_seed796.txt,ok,
52,796,bkz20_30_40,20+30+40,2206.616867514612,1776.7902328519456,1.2419118625909749,svp_dim52_seed796.txt,ok,
52,796,lll,LLL,2812.733723621913,1776.790232851944,1.5830420899529405,svp_dim52_seed796.txt,ok,
52,8949,bkz20,20,2567.9433404964366,1772.4827799385573,1.4487832375925558,svp_dim52_seed8949.txt,ok,
52,8949,bkz20_30,20+30,2277.3783172762483,1772.4827799385557,1.2848521537428959,svp_dim52_seed8949.txt,ok,
52,8949,bkz20_30_40,20+30+40,2186.4635830491206,1772.4827799385494,1.2335598448662637,svp_dim52_seed8949.txt,ok,
52,8949,lll,LLL,2589.629317103126,1772.4827799385557,1.4610180400132842,svp_dim52_seed8949.txt,ok,
53,0,bkz20,20,2607.4589162631105,1789.2113819803412,1.457323009748079,svp_dim53_seed0.txt,ok,
53,0,bkz20_30,20+30,2275.365245405669,1789.2113819803444,1.2717140458201408,svp_dim53_seed0.txt,ok,
53,0,bkz20_30_40,20+30+40,2096.939197974038,1789.2113819803412,1.1719907547497805,svp_dim53_seed0.txt,ok,
53,0,lll,LLL,2959.3440151493046,1789.2113819803444,1.6539935107465211,svp_dim53_seed0.txt,ok,
53,1,bkz20,20,2383.8588464923855,1787.7254950171914,1.3334591094308141,svp_dim53_seed1.txt,ok,
53,1,bkz20_30,20+30,2314.8781825400656,1787.725495017193,1.2948733958273628,svp_dim53_seed1.txt,ok,
53,1,bkz20_30_40,20+30+40,2049.6543611057937,1787.7254950171866,1.146515148337183,svp_dim53_seed1.txt,ok,
53,1,lll,LLL,2529.0140371298867,1787.7254950171962,1.414654567593757,svp_dim53_seed1.txt,ok,
53,2,bkz20,20,2312.27917864604,1792.1791283148555,1.2902053941562317,svp_dim53_seed2.txt,ok,
53,2,bkz20_30,20+30,2312.27917864604,1792.1791283148555,1.2902053941562317,svp_dim53_seed2.txt,ok,
53,2,bkz20_30_40,20+30+40,2168.635285150548,1792.1791283148523,1.2100549832815368,svp_dim53_seed2.txt,ok,
53,2,lll,LLL,2536.832473775122,1792.1791283148555,1.4155016279876258,svp_dim53_seed2.txt,ok,
53,3,bkz20,20,2684.4731326649544,1785.2664290203597,1.5036820773793533,svp_dim53_seed3.txt,ok,
53,3,bkz20_30,20+30,2385.64435740116,1785.2664290203581,1.3362959828412007,svp_dim53_seed3.txt,ok,
53,3,bkz20_30_40,20+30+40,2040.2918908822826,1785.2664290203581,1.1428500854081853,svp_dim53_seed3.txt,ok,
53,3,lll,LLL,3107.458286123884,1785.2664290203597,1.7406131855787257,svp_dim53_seed3.txt,ok,
53,5,bkz20,20,2245.6733956655416,1802.4746134315371,1.2458835086671463,svp_dim53_seed5.txt,ok,
53,5,bkz20_30,20+30,2178.798981090269,1802.4746134315371,1.2087820626456918,svp_dim53_seed5.txt,ok,
53,5,bkz20_30_40,20+30+40,2178.798981090269,1802.4746134315355,1.2087820626456929,svp_dim53_seed5.txt,ok,
53,5,lll,LLL,2571.038895077242,1802.474613431534,1.4263939563523298,svp_dim53_seed5.txt,ok,
53,14,bkz20,20,2632.8723858174376,1802.787693937467,1.4604450622064007,svp_dim53_seed14.txt,ok,
53,14,bkz20_30,20+30,2330.8811638519883,1802.7876939374687,1.2929315923835218,svp_dim53_seed14.txt,ok,
53,14,bkz20_30_40,20+30+40,2242.3133144143785,1802.787693937467,1.2438033174704803,svp_dim53_seed14.txt,ok,
53,14,lll,LLL,2823.8186910635736,1802.787693937467,1.5663623068649162,svp_dim53_seed14.txt,ok,
53,194,bkz20,20,2653.0946081887096,1800.1181311583068,1.47384472289135,svp_dim53_seed194.txt,ok,
53,194,bkz20_30,20+30,2496.550620356013,1800.11813115831,1.3868815480179484,svp_dim53_seed194.txt,ok,
53,194,bkz20_30_40,20+30+40,2123.0120112707787,1800.1181311583068,1.1793737169375111,svp_dim53_seed194.txt,ok,
53,194,lll,LLL,3070.307313608848,1800.1181311583036,1.7056143485612405,svp_dim53_seed194.txt,ok,
53,370,bkz20,20,2386.7752303055277,1795.6341590868353,1.3292101947533206,svp_dim53_seed370.txt,ok,
53,370,bkz20_30,20+30,2349.1481434766933,1795.6341590868337,1.3082554325383007,svp_dim53_seed370.txt,ok,
53,370,bkz20_30_40,20+30+40,2231.5725397127476,1795.6341590868353,1.2427768364841127,svp_dim53_seed370.txt,ok,
53,370,lll,LLL,2818.1561347803276,1795.6341590868337,1.5694489439950816,svp_dim53_seed370.txt,ok,
53,1917,bkz20,20,2162.317044283747,1800.9877061281825,1.2006284312358584,svp_dim53_seed1917.txt,ok,
53,1917,bkz20_30,20+30,2162.317044283747,1800.987706128171,1.200628431235866,svp_dim53_seed1917.txt,ok,
53,1917,bkz20_30_40,20+30+40,2061.217116171899,1800.9877061281777,1.144492607672026,svp_dim53_seed1917.txt,ok,
53,1917,lll,LLL,2354.6245985294536,1800.9877061281793,1.3074073690327963,svp_dim53_seed1917.txt,ok,
54,0,bkz20,20,2265.1019844589796,1805.8985250500107,1.2542797687905816,svp_dim54_seed0.txt,ok,
54,0,bkz20_30,20+30,2265.1019844589796,1805.898525050009,1.2542797687905827,svp_dim54_seed0.txt,ok,
54,0,bkz20_30_40,20+30+40,2074.7421526541543,1805.8985250500075,1.1488697309815359,svp_dim54_seed0.txt,ok,
54,0,lll,LLL,3301.496630317831,1805.8985250500075,1.8281739447272702,svp_dim54_seed0.txt,ok,
54,1,bkz20,20,2195.421144108803,1810.496866115171,1.212606983860499,svp_dim54_seed1.txt,ok,
54,1,bkz20_30,20+30,2195.421144108803,1810.4968661151695,1.2126069838605,svp_dim54_seed1.txt,ok,
54,1,bkz20_30_40,20+30+40,2195.421144108803,1810.4968661151727,1.2126069838604978,svp_dim54_seed1.txt,ok,
54,1,lll,LLL,2544.5388580251615,1810.4968661151695,1.4054367647070527,svp_dim54_seed1.txt,ok,
54,2,bkz20,20,2263.0528053936355,1820.1334685259742,1.2433444274975929,svp_dim54_seed2.txt,ok,
54,2,bkz20_30,20+30,2263.0528053936355,1820.133468525984,1.2433444274975862,svp_dim54_seed2.txt,ok,
54,2,bkz20_30_40,20+30+40,2263.0528053936355,1820.133468525984,1.2433444274975862,svp_dim54_seed2.txt,ok,
54,2,lll,LLL,2691.794568684616,1820.1334685259776,1.4788995506272116,svp_dim54_seed2.txt,ok,
54,3,bkz20,20,2633.577035136811,1810.2850109281046,1.4547858592645682,svp_dim54_seed3.txt,ok,
54,3,bkz20_30,20+30,2206.3100416759207,1810.2850109281014,1.2187639119570373,svp_dim54_seed3.txt,ok,
54,3,bkz20_30_40,20+30+40,2206.3100416759207,1810.2850109281014,1.2187639119570373,svp_dim54_seed3.txt,ok,
54,3,lll,LLL,2784.110629985811,1810.2850109281062,1.5379404973134252,svp_dim54_seed3.txt,ok,
54,5,bkz20,20,2448.053103999176,1799.300385751421,1.360558316657518,svp_dim54_seed5.txt,ok,
54,5,bkz20_30,20+30,2136.137401947731,1799.3003857514273,1.1872044372711192,svp_dim54_seed5.txt,ok,
54,5,bkz20_30_40,20+30+40,2077.2811557418017,1799.3003857514225,1.1544938089224546,svp_dim54_seed5.txt,ok,
54,5,lll,LLL,2563.862320796497,1799.300385751421,1.4249217868787267,svp_dim54_seed5.txt,ok,
54,10,bkz20,20,2241.6261954215283,1800.6939180758804,1.2448679772389097,svp_dim54_seed10.txt,ok,
54,10,bkz20_30,20+30,2137.39771685103,1800.6939180758789,1.186985581166917,svp_dim54_seed10.txt,ok,
54,10,bkz20_30_40,20+30+40,2137.39771685103,1800.6939180758757,1.1869855811669192,svp_dim54_seed10.txt,ok,
54,10,lll,LLL,2919.4871124908223,1800.693918075874,1.6213122525622963,svp_dim54_seed10.txt,ok,
54,25,bkz20,20,2274.506539889476,1817.5107175327455,1.251440510335531,svp_dim54_seed25.txt,ok,
54,25,bkz20_30,20+30,2208.2108142113602,1817.5107175327357,1.214964397683992,svp_dim54_seed25.txt,ok,
54,25,bkz20_30_40,20+30+40,2101.3816883184263,1817.510717532742,1.1561866832736132,svp_dim54_seed25.txt,ok,
54,25,lll,LLL,2274.506539889476,1817.5107175327357,1.2514405103355377,svp_dim54_seed25.txt,ok,
54,988,bkz20,20,2586.7129720941207,1807.111202170546,1.4314077456811645,svp_dim54_seed988.txt,ok,
54,988,bkz20_30,20+30,2288.920924802778,1807.1112021705526,1.266618746014919,svp_dim54_seed988.txt,ok,
54,988,bkz20_30_40,20+30+40,2268.85786244974,1807.1112021705492,1.2555164617011836,svp_dim54_seed988.txt,ok,
54,988,lll,LLL,2780.9081250555555,1807.1112021705526,1.5388693964795077,svp_dim54_seed988.txt,ok,
54,2439,bkz20,20,2525.0928695792563,1801.005662958667,1.4020460465577154,svp_dim54_seed2439.txt,ok,
54,2439,bkz20_30,20+30,2325.7278430633287,1801.0056629586654,1.2913495448107906,svp_dim54_seed2439.txt,ok,
54,2439,bkz20_30_40,20+30+40,2274.192603980585,1801.0056629586686,1.262734843512136,svp_dim54_seed2439.txt,ok,
54,2439,lll,LLL,2525.0928695792563,1801.0056629586686,1.402046046557714,svp_dim54_seed2439.txt,ok,
55,0,bkz20,20,2402.271425130809,1825.0699463012968,1.3162626616033397,svp_dim55_seed0.txt,ok,
55,0,bkz20_30,20+30,2402.271425130809,1825.0699463012952,1.3162626616033408,svp_dim55_seed0.txt,ok,
55,0,bkz20_30_40,20+30+40,2196.6551845931563,1825.0699463012918,1.2036005464036725,svp_dim55_seed0.txt,ok,
55,0,lll,LLL,3010.597282932405,1825.0699463012968,1.6495791238213684,svp_dim55_seed0.txt,ok,
55,1,bkz20,20,2262.8815700341024,1829.0862792234757,1.237165023726924,svp_dim55_seed1.txt,ok,
55,1,bkz20_30,20+30,2262.8815700341024,1829.086279223469,1.2371650237269285,svp_dim55_seed1.txt,ok,
55,1,bkz20_30_40,20+30+40,2214.5746769978214,1829.086279223469,1.210754627681101,svp_dim55_seed1.txt,ok,
55,1,lll,LLL,3113.371323822456,1829.086279223466,1.7021456883620767,svp_dim55_seed1.txt,ok,
55,10,bkz20,20,2568.0377723078745,1830.0787793720106,1.4032389213261593,svp_dim55_seed10.txt,ok,
55,10,bkz20_30,20+30,2380.8183467035033,1830.078779372009,1.3009376282262999,svp_dim55_seed10.txt,ok,
55,10,bkz20_30_40,20+30+40,2162.335080416539,1830.078779372009,1.181553004597181,svp_dim55_seed10.txt,ok,
55,10,lll,LLL,2629.973383895737,1830.0787793720058,1.4370820609144574,svp_dim55_seed10.txt,ok,
55,13,bkz20,20,2417.764876905939,1816.9851441959142,1.3306464748097284,svp_dim55_seed13.txt,ok,
55,13,bkz20_30,20+30,2370.971319944635,1816.9851441959127,1.3048930683436506,svp_dim55_seed13.txt,ok,
55,13,bkz20_30_40,20+30+40,2211.711554430189,1816.985144195911,1.2172425082809142,svp_dim55_seed13.txt,ok,
55,13,lll,LLL,2507.674221265593,1816.985144195911,1.3801291822753674,svp_dim55_seed13.txt,ok,
55,14,bkz20,20,2242.23749857146,1831.931414828974,1.2239745879246202,svp_dim55_seed14.txt,ok,
55,14,bkz20_30,20+30,2242.23749857146,1831.931414828969,1.2239745879246235,svp_dim55_seed14.txt,ok,
55,14,bkz20_30_40,20+30+40,2242.23749857146,1831.931414828969,1.2239745879246235,svp_dim55_seed14.txt,ok,
55,14,lll,LLL,2837.1089157802867,1831.931414828969,1.5486982169827366,svp_dim55_seed14.txt,ok,
55,49,bkz20,20,2684.281840641926,1823.7850948318112,1.4718191568998809,svp_dim55_seed49.txt,ok,
55,49,bkz20_30,20+30,2401.0179091377076,1823.785094831808,1.3165026493207155,svp_dim55_seed49.txt,ok,
55,49,bkz20_30_40,20+30+40,2369.4313663830826,1823.7850948318146,1.2991834252278427,svp_dim55_seed49.txt,ok,
55,49,lll,LLL,3018.900793335219,1823.7850948318128,1.6552941472600522,svp_dim55_seed49.txt,ok,
55,291,bkz20,20,2571.1756066048847,1815.706919750518,1.4160741354437145,svp_dim55_seed291.txt,ok,
55,291,bkz20_30,20+30,2358.0441047614013,1815.7069197505195,1.298692029595503,svp_dim55_seed291.txt,ok,
55,291,bkz20_30_40,20+30+40,2021.9114718503372,1815.706919750518,1.113567090512687,svp_dim55_seed291.txt,ok,
55,291,lll,LLL,2788.4284104132907,1815.7069197505211,1.5357260470188778,svp_dim55_seed291.txt,ok,
55,1324,bkz20,20,2566.0687831778805,1835.9318585505293,1.3976928235254849,svp_dim55_seed1324.txt,ok,
55,1324,bkz20_30,20+30,2299.8406466535903,1835.9318585505293,1.2526830099616646,svp_dim55_seed1324.txt,ok,
55,1324,bkz20_30_40,20+30+40,2167.9451100062465,1835.931858550531,1.1808418160562018,svp_dim55_seed1324.txt,ok,
55,1324,lll,LLL,2773.2738775678113,1835.931858550531,1.5105538174806292,svp_dim55_seed1324.txt,ok,
55,8442,bkz20,20,2612.132462184871,1837.0184516701802,1.4219413309702866,svp_dim55_seed8442.txt,ok,
55,8442,bkz20_30,20+30,2324.9062346684004,1837.018451670172,1.2655867623728292,svp_dim55_seed8442.txt,ok,
55,8442,bkz20_30_40,20+30+40,2201.9053113156338,1837.018451670172,1.1986299371754896,svp_dim55_seed8442.txt,ok,
55,8442,lll,LLL,2612.132462184871,1837.018451670177,1.4219413309702893,svp_dim55_seed8442.txt,ok,
56,0,bkz20,20,2594.28352344149,1846.7789375748555,1.4047612687462416,svp_dim56_seed0.txt,ok,
56,0,bkz20_30,20+30,2428.9827088721745,1846.778937574857,1.3152536340174272,svp_dim56_seed0.txt,ok,
56,0,bkz20_30_40,20+30+40,2335.9171646272057,1846.778937574862,1.2648601936594892,svp_dim56_seed0.txt,ok,
56,0,lll,LLL,2594.28352344149,1846.7789375748555,1.4047612687462416,svp_dim56_seed0.txt,ok,
56,1,bkz20,20,2467.1548390808375,1852.9779709936786,1.331453950182581,svp_dim56_seed1.txt,ok,
56,1,bkz20_30,20+30,2467.1548390808375,1852.977970993682,1.3314539501825786,svp_dim56_seed1.txt,ok,
56,1,bkz20_30_40,20+30+40,2176.3322356662384,1852.9779709936786,1.1745051855630844,svp_dim56_seed1.txt,ok,
56,1,lll,LLL,2680.9828421681477,1852.9779709936786,1.4468508984650492,svp_dim56_seed1.txt,ok,
56,2,bkz20,20,2340.6003503374945,1833.8392538226801,1.2763388860056624,svp_dim56_seed2.txt,ok,
56,2,bkz20_30,20+30,2276.6861883008814,1833.839253822677,1.2414862336243926,svp_dim56_seed2.txt,ok,
56,2,bkz20_30_40,20+30+40,2167.17350482143,1833.8392538226817,1.1817685221340448,svp_dim56_seed2.txt,ok,
56,2,lll,LLL,2340.6003503374945,1833.839253822677,1.2763388860056646,svp_dim56_seed2.txt,ok,
56,3,bkz20,20,2515.5834313335736,1849.2087926062313,1.3603566246233179,svp_dim56_seed3.txt,ok,
56,3,bkz20_30,20+30,2338.3960314711444,1849.208792606228,1.2645386723342735,svp_dim56_seed3.txt,ok,
56,3,bkz20_30_40,20+30+40,2236.444946784963,1849.2087926062297,1.2094063989566977,svp_dim56_seed3.txt,ok,
56,3,lll,LLL,2735.357746255505,1849.2087926062313,1.479204380377381,svp_dim56_seed3.txt,ok,
56,5,bkz20,20,2415.6974148266168,1847.306128215749,1.3076865701516716,svp_dim56_seed5.txt,ok,
56,5,bkz20_30,20+30,2415.6974148266168,1847.3061282157505,1.3076865701516702,svp_dim56_seed5.txt,ok,
56,5,bkz20_30_40,20+30+40,2246.305856289388,1847.3061282157523,1.2159900419206726,svp_dim56_seed5.txt,ok,
56,5,lll,LLL,2794.8481175190896,1847.306128215744,1.5129317630849561,svp_dim56_seed5.txt,ok,
56,20,bkz20,20,2694.437789224311,1851.695336415148,1.4551193904504283,svp_dim56_seed20.txt,ok,
56,20,bkz20_30,20+30,2497.86789082209,1851.6953364151498,1.3489626731241433,svp_dim56_seed20.txt,ok,
