dim,seed,method,pipeline,norm,gh,norm_over_gh,file,status,error
50,0,bkz20,20,2154.754742424298,1743.6290251668847,1.2357873786931621,svp_dim50_seed0.txt,ok,
50,0,bkz20_30,20+30,2108.5480786550747,1743.6290251668834,1.209287095030587,svp_dim50_seed0.txt,ok,
50,0,bkz20_30_40,20+30+40,1934.6043523159972,1743.6290251668847,1.1095274994810516,svp_dim50_seed0.txt,ok,
50,0,lll,LLL,2477.2678498700952,1743.6290251668786,1.42075396435489,svp_dim50_seed0.txt,ok,
50,1,bkz20,20,2524.526886369009,1735.7799211694771,1.454404936697341,svp_dim50_seed1.txt,ok,
50,1,bkz20_30,20+30,2156.6993299947953,1735.7799211694723,1.2424958393007166,svp_dim50_seed1.txt,ok,
50,1,bkz20_30_40,20+30+40,2072.162397110806,1735.779921169474,1.1937932751951044,svp_dim50_seed1.txt,ok,
50,1,lll,LLL,2524.526886369009,1735.7799211694771,1.454404936697341,svp_dim50_seed1.txt,ok,
50,2,bkz20,20,2335.161022285185,1751.325077599897,1.3333681177485368,svp_dim50_seed2.txt,ok,
50,2,bkz20_30,20+30,2083.698634639855,1751.3250775998908,1.1897840448304813,svp_dim50_seed2.txt,ok,
50,2,bkz20_30_40,20+30+40,2015.0267988292353,1751.3250775998924,1.1505726861347372,svp_dim50_seed2.txt,ok,
50,2,lll,LLL,2335.161022285185,1751.325077599894,1.3333681177485392,svp_dim50_seed2.txt,ok,
50,3,bkz20,20,2046.136359092425,1735.8792307150695,1.1787319779438514,svp_dim50_seed3.txt,ok,
50,3,bkz20_30,20+30,2046.136359092425,1735.8792307150727,1.1787319779438492,svp_dim50_seed3.txt,ok,
50,3,bkz20_30_40,20+30+40,1976.26921243033,1735.8792307150727,1.1384831257046795,svp_dim50_seed3.txt,ok,
50,3,lll,LLL,2046.136359092425,1735.8792307150773,1.178731977943846,svp_dim50_seed3.txt,ok,
50,5,bkz20,20,2404.0619792343105,1749.3893051365915,1.3742292651358141,svp_dim50_seed5.txt,ok,
50,5,bkz20_30,20+30,2074.0954654981524,1749.389305136587,1.1856111497927637,svp_dim50_seed5.txt,ok,
50,5,bkz20_30_40,20+30+40,1890.8704344824894,1749.3893051365915,1.0808745823073675,svp_dim50_seed5.txt,ok,
50,5,lll,LLL,2416.9954488993158,1749.3893051365915,1.3816223992009589,svp_dim50_seed5.txt,ok,
50,6,bkz20,20,2359.999788135583,1737.3760151173892,1.358370190218221,svp_dim50_seed6.txt,ok,
50,6,bkz20_30,20+30,2188.424319002144,1737.3760151173847,1.2596146717579064,svp_dim50_seed6.txt,ok,
50,6,bkz20_30_40,20+30+40,1939.1387263421864,1737.3760151173801,1.1161307106056573,svp_dim50_seed6.txt,ok,
50,6,lll,LLL,2963.379152251698,1737.3760151173847,1.7056636712297881,svp_dim50_seed6.txt,ok,
50,8,bkz20,20,2259.2624902830576,1747.4266977633533,1.292908305209504,svp_dim50_seed8.txt,ok,
50,8,bkz20_30,20+30,2029.8214207166113,1747.4266977633517,1.161606048090438,svp_dim50_seed8.txt,ok,
50,8,bkz20_30_40,20+30+40,2011.1307764538853,1747.426697763355,1.1509099517754093,svp_dim50_seed8.txt,ok,
50,8,lll,LLL,2342.372728666385,1747.4266977633563,1.3404698072111052,svp_dim50_seed8.txt,ok,
50,38,bkz20,20,1990.4308578797716,1733.3029042921157,1.148345654386743,svp_dim50_seed38.txt,ok,
50,38,bkz20_30,20+30,1990.4308578797716,1733.3029042921219,1.1483456543867387,svp_dim50_seed38.txt,ok,
50,38,bkz20_30_40,20+30+40,1891.1499147344182,1733.3029042921219,1.0910671816515307,svp_dim50_seed38.txt,ok,
50,38,lll,LLL,2785.622013123821,1733.3029042921173,1.607117836256942,svp_dim50_seed38.txt,ok,
50,3203,bkz20,20,1908.8213640883205,1742.7626168576028,1.0952847769538117,svp_dim50_seed3203.txt,ok,
